segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long,x,y,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,order_list_of_workers,assigned_points
344,83872104,ถนนสุขุมวิท,trunk,13.0439186864,100.926791146,13.0484194376,100.926382616,708942.665377,1442785.68554,46332.9834267,20083.099558,38692.1039581,33721.5830172,54502.9440573,58852.5786707,10615.2947987,32388.0895676,12049.667218,66606.5966934,7;9;2;8;4;3;1;5;6;10,7
346,83872104,ถนนสุขุมวิท,trunk,13.0529211363,100.925983568,13.0574281315,100.925650683,708847.498842,1443781.07999,46175.0437086,20051.1569547,38091.9945931,34721.4344838,53640.0344629,58255.463914,9773.91113428,31434.4254537,13028.1284135,66336.5487256,7;9;2;8;4;3;1;5;6;10,7
347,83872104,ถนนสุขุมวิท,trunk,13.0574281315,100.925650683,13.061931217,100.925265751,708807.602323,1444279.47408,46096.363883,20046.1547982,37792.03954,35221.4209212,53206.4488798,57954.8371902,9360.41498424,30956.3334485,13517.0279808,66199.3240403,7;9;2;8;4;3;1;5;6;10,7
352,83872114,ถนนเลี่ยงเมืองชล,trunk,13.332111,100.979119846,13.3315538,100.9856017,714367.843798,1474717.09568,44008.3491927,32289.0420118,23570.4866854,65592.4138228,24677.5407211,38754.2309867,22385.5985764,1201.86681066,43436.5132979,57019.7649257,8;7;3;5;2;6;9;1;10;4,8
365,85767682,,tertiary,12.8308986606,100.964724543,12.8326273692,100.968969288,713238.657155,1419247.71751,53901.921584,30798.8078206,55379.9969649,10183.9080221,75368.9548414,74403.2863705,33100.0340812,55293.4899222,12082.6602698,75020.3841575,4;9;2;7;1;8;3;6;10;5,4
366,85767682,,tertiary,12.8326273692,100.968969288,12.8308558532,100.973187942,713698.058735,1419442.50362,53428.7730327,30400.1295641,55006.1440401,10453.8495134,75068.9053477,73996.7905834,32904.0370226,55081.5269768,11920.3378718,74542.8275726,4;9;2;7;1;3;8;6;10;5,4
371,85767682,,tertiary,12.8212738188,100.98862407,12.8184743011,100.992233738,715841.707732,1418202.66287,52700.604966,30512.5021999,55262.9144691,9922.81104054,75797.4795333,73976.9249132,34220.009327,56291.035468,13499.3029582,73729.7475625,4;9;2;7;1;3;8;10;6;5,4
385,86168716,ซอยหนองจับเต่า,tertiary,12.7712672178,100.951036912,12.7743644373,100.947689679,711802.364662,1412638.64659,59485.9222279,37287.5069039,61977.657587,3461.41091182,82128.9607893,80812.9441689,39746.2792819,61967.6324929,18695.0588577,80460.2774829,4;9;2;7;1;8;3;10;6;5,4
387,86168716,ซอยหนองจับเต่า,tertiary,12.777230521,100.944132342,12.7804541595,100.940911264,711047.59839,1413292.80297,59560.6265701,37061.8451695,61698.8400196,4168.38392854,81681.4379845,80631.3395375,39133.8873377,61365.4252027,18092.063669,80576.7687514,4;9;2;7;1;8;3;10;6;5,4
398,86188036,,tertiary,12.7897053748,101.030077746,12.786187683,101.027306806,720370.150043,1414744.73218,52164.0229799,32206.1699949,56962.0492254,10289.9623751,78404.3028781,74965.0436739,38213.9908035,59942.4300257,18287.5781131,72863.4906103,4;9;2;7;1;3;8;10;6;5,4
